 PASSENGERS , FREIGHT , MAIL , Passenger Miles ,CARRIER_NAME
" 143,539 "," 17,750,771 ", -   ," 374,349,712 ",Taca Peru Total
" 143,086 "," 4,640,627 ", -   ," 516,397,374 ",Royal Air Maroc Total
" 139,367 "," 19,686,431 ", -   ," 209,886,702 ",Aerovias de Intergracian Regional Total
" 138,364 ", -   , -   ," 503,984,448 ",Elysair d/b/a L'Avion Total
" 135,305 "," 6,507,850 ", -   ," 516,729,795 ",Air Japan Co Total
" 133,170 ", -   , -   ," 395,514,900 ",Tame Linea Aerea del Ecuador Tme EP Total
" 129,197 "," 564,397 ", -   ," 329,969,114 ",WOW Air ehf Total
" 119,087 "," 8,648,997 ", -   ," 666,590,852 ",Kuwait Airways Corp. Total
" 117,366 "," 1,146,299 "," 6,635,973 "," 8,614,276 ",Grant Aviation Total
" 111,863 ", -   , -   ," 39,965,415 ",Eastern Airlines Group Inc. Total
" 110,417 ", -   , -   ," 164,079,662 ","Avior Airlines, C.A. Total"
" 109,250 ", -   , -   ," 233,983,873 ","Dynamic Airways, LLC Total"
" 106,119 "," 171,868 "," 144,438 "," 13,708,320 ","SeaPort Airlines, Inc. d/b/a Wings of Alaska Total"
" 104,992 "," 328,342 ", -   ," 262,455,264 ",Sata Internacional Total
" 104,032 "," 1,647,317 ", -   ," 1,798,339 ",Star Marianas Air Inc. Total
" 100,714 "," 1,028,576 ", -   ," 427,372,366 ",Britannia Airways Ltd. Total
" 100,537 ", -   , -   ," 27,477,877 ",Great Lakes Airlines Total
" 99,356 "," 3,396,651 ", -   ," 466,377,064 ",Ukraine International Airlines Total
" 98,464 ", -   , -   ," 125,742,326 ",Insel Air International B V Total
" 94,549 "," 1,322,878 ", -   ," 481,113,598 ",Transaero Airlines Total
" 90,381 ", -   , -   ," 36,139,199 ",Vision Airlines Total
" 87,887 "," 336,622 ", -   ," 2,578,054 ",Vieques Air Link Inc. Total
" 80,779 "," 741,362 ", -   ," 2,716,212 ",Island Airlines LLC Total
" 80,602 ", -   , -   ," 369,167,162 ",TUI Airlines Nederland B.V. Total
" 80,332 "," 277,380 ", -   ," 6,230,501 ",Polynesian Airlines Ltd. Total
" 75,567 "," 1,640,910 "," 6,686,397 "," 7,923,514 ",Bering Air Inc. Total
" 72,561 ", -   , -   ," 16,539,672 ","Multi-Aero, Inc. d/b/a Air Choice One Total"
" 71,766 "," 85,610 ", -   ," 4,711,422 ",Kenmore Air Harbor Total
" 69,447 "," 1,472,414 ", -   ," 372,518,007 ",Edelweiss Air Ag Total
" 68,613 "," 5,732,031 ", -   ," 482,451,300 ",Thai Airways International Ltd. Total
" 66,328 ", -   , -   ," 75,149,624 ",Inselair Aruba NV Total
" 66,274 "," 14,311 ", -   ," 1,853,991 ","Air Charter, Inc d/b/a Air Flamenco Total"
" 58,986 ", -   , -   ," 44,875,490 ",Falcon Air Express Total
" 57,167 "," 2,636,242 ", -   ," 264,420,351 ",TUI Airlines Belgium N.V. d/b/a Jetairfly Total
" 57,056 ", -   , -   ," 251,951,650 ",Meridiana S.p.A Total
" 54,210 "," 41,875 ", -   ," 91,390,047 ",Fly Jamaica Airways Limited Total
" 52,498 "," 17,802,848 ", -   ," 247,658,731 ",Atlas Air Inc. Total
" 52,445 "," 756,152 "," 3,725,281 "," 2,370,298 ",Yute Air Aka Flight Alaska Total
" 49,679 ", -   , -   ," 76,739,883 ",Surinam Airways Limited Total
" 45,542 ", -   , -   ," 17,040,632 ",Ultimate JetCharters LLC dba Ultimate Air Shuttle Total
" 43,969 ", -   , -   ," 11,859,166 ",Via Airlines d/b/a Charter Air Transport Total
" 43,730 "," 897,682 ", -   ," 305,716,486 ",Pakistan International Airlines Total
" 41,650 "," 1,941,121 "," 1,621,851 "," 8,425,295 ",Wright Air Service Total
" 40,109 ", -   , -   ," 33,552,160 ",Songbird Airways Inc. Total
" 39,593 "," 957,429 "," 994,237 "," 2,507,063 ",Kalinin Aviation LLC d/b/a Alaska Seaplanes Total
" 36,972 "," 275,530 ", -   ," 1,820,562 ","PM Air, LLC Total"
" 34,766 "," 519,470 ", -   ," 182,521,500 ",Arik Air International Total
" 32,657 ", -   , -   ," 8,381,517 ",Boutique Air Total
" 31,046 "," 3,846,882 ", -   ," 181,029,226 ",Azerbaijan Airlines CJSC Total
" 29,055 ", -   , -   ," 6,074,668 ",Tradewind Aviation Total
" 27,593 "," 357,888 ", -   ," 161,572,707 ",Uzbekistan Airways Total
" 26,853 "," 575,416 "," 576,385 "," 3,520,257 ",Warbelow Total
" 26,335 ", -   , -   ," 89,316,862 ",Transportes Aereos De Cabo Total
" 23,976 ", -   , -   ," 5,487,484 ",Corporate Flight Management Inc. Total
" 23,958 ", -   , -   ," 1,078,110 ",City Wings Inc dba Seaflight Total
" 23,473 ", -   , -   ," 2,613,944 ",Sun Air Express LLC dba Sun Air International Total
" 23,350 "," 38,410 ", -   ," 396,950 ",New England Airlines Inc. Total
" 21,213 ", -   , -   ," 22,170,707 ",Sky King Inc. Total
" 20,828 "," 380,790 "," 681,017 "," 193,310 ",Venture Travel LLC d/b/a Taquan Air Service Total
" 17,188 "," 197,861 "," 206,020 "," 658,638 ","Pacific Airways, Inc. Total"
" 17,146 "," 78,951 "," 590,178 "," 966,985 ",Scott Air LLC dba Island Air Express Total
" 15,453 ", -   , -   ," 11,540,200 ",Orange Air Total
" 13,689 "," 336,930 ", -   ," 846,147 ",Katmai Air Total
" 13,107 "," 362,337 "," 353,624 "," 2,617,436 ",Iliamna Air Taxi Total
" 12,527 "," 455,805 "," 233,955 "," 707,678 ",Island Air Service Total
" 10,402 ", -   , -   ," 7,866,820 ",Ameristar Air Cargo Total
" 10,203 ", -   , -   ," 324,735 ",Makani Kai Air Charters Total
" 10,071 ", -   , -   ," 4,770,078 ",Transportes Aeromar S.A de C.V Total
" 9,799 ", -   , -   ," 3,645,158 ",Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane Total
" 9,765 "," 22,181 "," 132,809 "," 220,077 ",Smokey Bay Air Inc. Total
" 9,347 ", -   , -   ," 18,975,689 ","KaiserAir, Inc. Total"
" 8,997 ", -   , -   ," 41,813,286 ",Privatair Total
" 8,299 "," 384,576 ", -   ," 256,452 ",Homer Air Total
" 7,689 ", -   , -   ," 739,496 ",Air Sunshine Inc. Total
" 7,672 "," 375,458 "," 28,025 "," 705,664 ",Servant Air Inc. Total
" 6,711 ", -   , -   ," 1,465,614 ","Charter Air Transport, Inc. Total"
" 6,427 "," 382,569 "," 15,370 "," 277,683 ",Spernak Airways Inc. Total
" 6,261 ", -   , -   ," 8,389,393 ",Avjet Corporation Total
" 4,119 "," 68,808 "," 67,863 "," 168,477 ",Air Excursions LLC Total
